text,label
@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,anger
Brad Pitt being investigated for child abuse?! this all just got really #dark,sadness
ya boy gets mad tired of pine trees,sadness
I swear if @devincameron23 blocks me I'm going to hit her back #revenge,anger
@dc_mma @ChampionsFight think shes afraid to fight Holly. One can only imagine what goes through her head when she thinks of Cyborg ,fear
"Rt @yoelamite i need that one back, that whole cd was hard, the one with a #rage flew through, rhyme flow, n the 1 u speak on the dollar",anger
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,anger
@jadelalaa_ hahaha and u da best bro ever luv u hearty hearts,joy
I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul ,fear
"There is no dark side in the moon. In fact, it's all dark.'\nGerry O'Driscoll at the end of 'The Dark side of the Moon'",sadness
@CSTrey4 thanks brotein shake 😈😈😈,fear
 I can't guess if you holding a grudge against the best',anger
@Dubai92 try asking for a cheeseburger with only onion &amp; mustard at any #McDonalds ,joy
"$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach  #lgm",fear
We're very busy #coding a whole network manager for #unity3d based on #steamworks networking. #gamedev #indiedev #3amDeadTime #horror #game,fear
@TDsNation i watch all your videos but i like madden better!,anger
Andrew's hands start shaking and he says 'I hope I die.. like right now',fear
Season 3 of penny dreadful is on Netflix...well my afternoon is filled,fear
@aidankerrpol I think you should do. Get the fashion police involved. #shocking,fear
It was an #amazing #start to the first #fall  day. Will it be an #Indiansummer,fear
"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love #hilarious #TeamMark",joy
"@_haye_ optimism is he'll lose, that's actually a compromise :P",joy
Thank God she warned me before I walked to that sink cause lord knows I would've been sick to my stomach and would've wanted to sue lbvfs,sadness
"@eileen_davidson on RHOBH, you just do not want to assume an affair while you were married so you criticize @LisaVanderpump! ",fear
@V_of_Europe @ckolacia MSM relentlessly saying DT can't win to: depress GOP turnout &amp; provide cover 4 stolen election!,sadness
@dressenn @amerson6562 @RosaTrunk @iam_spl_ @michaelk487 @Silau25 \nGA🙋 Have a joyful day,joy
@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao,anger
"Three days off a month with two ex wives and no home could be worse. I don't know how, but it could #oilandgas ",joy
@ChowdharyMahima Appreciate ur 'half truth.' Don't let ur good judgement swayed in the realm of propaganda. State doesn't sponsor terrorism.,fear
So depressing that it's darker so much earlier now,sadness
If Monday had a face I would punch it #monday #horrible #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow,fear
Sometimes the support network is causing the damage. \n\n #support #Damaged #alone #tired  #hurt #nojustice  #surivivor #NoMore,sadness
@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. #bitter,anger
Yo there's a kid on my snap chat from LA &amp; they get high off helium gas lmao.... I am like why the fuck lol,anger
"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control.",sadness
Skipping meals is the national way of showing #disappointment and . #wiz,anger
My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism ,fear
Going to get myself a copy of @StephenKing's CUJO for an upcoming project that I can't talk about just yet. #horror #amwriting,fear
i love the word fret so much and im in heaven,anger
@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,fear
That old lady is cray cray #scared #BellaIsSoCute  #Empire,fear
These #NewEnglandPatriots jerseys look like some whack ones that you tried to make when you made custom jerseys on #madden  04,anger
@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums #HissyFits,anger
Don't get #bitter get #BETTER,anger
TheNiceBot: melbjs ;) Here is a smile and a wink from across the web. #TheNiceBot,joy
@USAneedsTRUMP @HillaryClinton @realDonaldTrump awe!!! #cnn so bias and doesn't care about people only money,fear
"Cover it up with a smile, maybe it'll get better",joy
Liam is too distant makes me mourn 😪,sadness
@Groupon_UK who do I contact about a shocking experience with Clear Sky Holidays booked through you guys?? #customerservicefail #dreadful,sadness
"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy
omg i just heard my dads alarm go off have i really been up all this time,fear
I feel ghastly and I'm really hoping it's just a post-birthday slump. Back to full research mode tomorrow either way.,fear
"@beIIrkes Es, I'm serious 23/8",sadness
"What's a Kali's kitten? [She asked, a frown curling on her fair skinned forehead as he showed her the scar] A cat did - (@ScarredTiger)",sadness
When you're on a train as its pitch black outside and you have no idea where you are... #travel #whereami #lost #adventure,sadness
@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad,sadness
A former diplomat is quite gleeful about the situation of Pakistan on @TimesNow\nNot quite stiff upper lip of diplomacy seen normally,joy
"@yoursecretsub1 Trust me dear, if you want to make anything invisible, hang a wet paint on it, and hilarity will ensue.",joy
When you burst out crying alone and u realize that no one truly knows how unhappy you really are because you don't want anyone to know,anger
@iamglenn35 the forth character? No... not gleeful enough...,joy
"every time a new Anthony Weiner revelation breaks, Bill Clinton says a prayer of thanks that texting/DMing didn't exist in his heyday.",joy
"@_stardust_3 unless your concern is people figuring out who you are for wtvr reason, I don't see why you shouldn't tweet about other things",fear
All this doom and gloom! We scored from open play again! And only conceded two this time. #progress they means a 1-1 draw on Saturday for me,sadness
Like hello? I am your first born you must always laugh at my jokes. #offended,anger
"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp",sadness
"@Cigna bows out for the moment. Rather than sulk, I'm going to @UCSF for an opinion from the guys studying #Oligodendroglioma. ✌️&amp; ❤️ &amp; 🍩's",sadness
Accrington Stanley? Who are they? Exactly. Things looking dire for West Ham despite the win. What's changed since March? #bbcfootball,fear
Now they fret about scuffs. I’ll take scuffs (which…come in) for a phone I can use wet handed or drop in a toilet any day.,anger
I'm getting use to not having a phone it's sad ..,sadness
doing some testing with my current earth burst team,anger
Today is the first time any math professor let us live early before the class time !!! #15 min #feelsgood #happy #wednesday #,joy
@mcdermo11 @rogerc32 u gave Laura so much constructive criticism she blocked u 'Lazy Give Up Now No Hope Retire' same with Heather #bully,fear
Mixed emotions. #sadness #anxietymaybe #missingfriends #growingupsucks #lostfriends #wheresthetruefriends #complications,sadness
Let's get drunk and tell each other things we're afraid to say when we're sober.,sadness
@1NatalieMaines Can you imagine being the person who has to spray tan him? ,fear
A good thing about being sick is that coughing is like an ab workout. Maybe my abs will be more defined by the time I'm better 😂😅 ,joy
only time I am ever cheering for you Johnny,joy
Not sure that men can handle a woman that's got her crap together. #intimidation #independent,fear
This week's Massacre Theatre pert by @LarsenOnFilm is the first one I can think of that requires subtitles. ,fear
@debutemma I dont have to sit here and take this from u spry young children,joy
@Kim_is__bored exactly what I have been saying on fb.. #bitter,anger
Thursdays at 6pm Vespers &amp; Meditation #prayerful #plainsong #multisensory #candles #incense #psalms #music #silence #faithful sing or listen,anger
"Thanks for making our Mass with Fr. Vallely respectful, meaningful, and joyful @ACSSCrusader @AssumptionHCDSB ! #SeeWithEyesOfMercy",joy
Do you think humans have the sense for recognizing impending doom? #anxiety,fear
procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack,fear
"You know, you're pro-actively playful. You want to press your boobs into my face, Tatenashi. I'm not saying no, though. =3",joy
How brave are the young individuals that have opened up to us about their #depression and #anxiety to help raise awareness!! @beyondblue,sadness
not only was that the worst @EGX that's I've attended but worth one of the worst cons I've been to in the last 5 years ,fear
@Fra93_bruno wow I'm just really sadden by that. Terrible,sadness
LOVE LOVE LOVE #smile #fun #relaxationiskey,joy
"@TheMoosesAngel He looks down at his brother, a smile forming on his face. 'What? People fearing me?'",fear
Just now we were rejoicing that we finally won a match the draw just revealed that we are facing city next. This life sef,joy
Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking,fear
@TiganVarcolac &lt; feel this precious pleasure. 'Harder..' He whispered almost breathless and his index finger stroked along his waistband &gt;,fear
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger
@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious,joy
@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #sad #protest #PoliceShootings #suggestions,sadness
Sometimes the best motivations come from 'proving them wrong' #energy  #MotivationalQuotes,anger
Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?,anger
@Nick_Offerman I'll be there!! Can't wait for all the !,joy
"the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.  #fatalism",anger
@ItWontCostMuch_ 'Bed done... floor will be done last... curtains! A-hah!' She tried to sound all happy and cheery but she really wasn't.--,joy
"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov  #quote",joy
@LickMeLucas ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation.,anger
@DL_Hart @DonnieDollars @AaronBiggsPro @WWENoWayJose @cwfmidatlantic How did that chop feel? You still feel the sting of it? Looks brutal!,anger
@kingcharles9th i Lowkey forgot you had twitter and if you don't follow me back im gonna be ,anger
I wanna see you smile I don't wanna see you make a frown,sadness
hate to see y'all frown but I'd rather see him smiling 💕✨,anger
"Yahweh your God is among you, a warrior who saves. He will rejoice over you with gladness.",joy
Currently listening to @ScottFoxonair &amp; @KatCallaghan @Z1035Toronto podcasts!! Can you guys please move to #yvr ? #hilarious #missyou,joy
This all resent #India #Pakistan problem is save #NawazSharif\n@ImranKhanPTI\n@PTIofficial,anger
I have a job interview with @BarclaysUK in Loughborough next month #nervous!!!,fear
@1NatalieMaines Can you imagine being the person who has to spray tan him? #shudder,fear
"@rubeseatsinfo from here, it's but a short step to biweekly Community Meetings over a hearty meal of soy flakes",joy
my wasp sting is so itchy,anger
I need a syfy series to watch I literally have nothing to watch back to back. I already watched #heroes #lost #jericho #fallenskies  etc etc,sadness
"@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",sadness
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. ",anger
BLUES with BOB HADDRELL &amp; Guests\nFri 23rd Sep 8:30pm - 11:00pm #blues #free #TunbridgeWells,sadness
"@msfang they say you attract what you see, maybe I shouldn't be a pessimist but I don't wanna take any chances lol can't wait to relocate",sadness
"Just like there is a right way to pray, there is a right way to give - not grudgingly or of necessity, but cheerfully. #woficc",joy
"Part of debunking #panic is the idea that either a physical symptom, negative thought, or a behavior begins the vicious cycle. #CBTWORKS",fear
Watch this amazing live.ly broadcast by @its.finfin  #musically,joy
"When tears r inappropriate: 'This day is holy to our Lord. Do not grieve, for the joy of the LORD is your strength.' Nehemiah 8:10 NIV #joy",sadness
@delon03 can you at least just walk past her and break out into laughter,joy
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder,fear
Watch this amazing live.ly broadcast by @iamjustinburke #lively #musically,joy
Do not grow weary of doing good' a lasting legacy @billclinton @ClintonGlobal #CGI2016 #thankfulmoment @ProjectThankful,sadness
#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown,anger
@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? ,joy
"Yo Yo Yo,my name is #DarthVader \nI feel like I need to puff on my inhaler (I'm no rapper but that was some sick bars)  #bars #rap",fear
@Blancalanka96 thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking,joy
"@___margs @juliana_f_reyes Hey Michael! Thanks for following up, yeah I think you'd be a terrific contrib. Looping in assoc ed Juliana",fear
"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair",sadness
"Dear everyone at HSSU, stop walking with your phones up so I can smile and wave at you and you can smile and wave back :(",joy
Cause fail or pass I refuse to be sober,sadness
It's funny that everyone came in my life as they like how far I'm cheerful and self confident could make me 3abla kaml fg2a kda 😂😂😂,joy
"You know what's great about #GBBO ? Contestants helping each other, cheering each other on. So important.",joy
"#ntfc mourinho is worried,  bringing Ibra  and Rushford on. ",fear
Super shitting it about this tattoo #nervous,fear
@adamrodricks I like your optimism!,joy
"Oh my. Watching #rage. It's been like, ages",anger
@lindseylouwho_ be nice if the Texans could hold onto the ball to give fuller and Hopkins a chance!!! #awful #TNF,fear
Hate knowing I have to get up at half 5 for gym in the morning it's so depressing,sadness
"@aidanparr haha!! No, sorry was it too grim even for you?! It disturbed me &amp; im starting to lose all trust in Twitter generally!!",sadness
"@BBCNews 😝 scared of their own horror story they wrote, afraid of the #terror they spread, will #europe start WW3 in 2017 anniversary of WW1",fear
"God's love spring.Of one dat sunk his whole estate for d paltry bribe,of a single apple–n yet proud of our ancestry?❤️🗿",sadness
@jwonder81 @MacadamionNut well of course.Progress for the sake of progress must be discouraged. The problem is the substance of the rhetoric,sadness
Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! ,joy
I need some to help with my anger,anger
lost my 244 day snapchat streak i'm done,sadness
Michelle is one of the worst players in bb history #bb18 #bbfinale ,anger
"Being a veteran just totally got me out of a ticket. I'm elated right now, close call.",joy
I wish there were unlimited glee episodes:( so I could watch them forever. #gleegoodbye,joy
My roommate turns the sink off with her foot to avoid germs and a guy says 'YOUR roommate is feet girl?! I'm so sorry' plz help ,fear
You're so cute @katienolan #truelove #hilarious @GarbageTime #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo,joy
"@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump ",fear
@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam,sadness
Online now !!!:) all day come play with me !! I'm happy happy horny playful sweet sour;),joy
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since.  #Autumn",sadness
@mikebairdMP @AndrewConstance @nswtaxi how many sex cases u need before u guys learn UBER is shocking to the consumer unregulated,fear
I feel like I am drowning. #depression  #falure #worthless,fear
@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions #worry,fear
It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh 😒,sadness
@jessebwatters lol. Love it when you aggravate Juan. Keep up the good work. Lol,anger
@LoriAlan1 Seriously. Digging those eyebrows. ,joy
@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol #nightmare,fear
@winksahoy we about to get shit on by the wrath of winter out of nowhere,anger
me taking a picture by myself: *awkward smile*\nme on picture day: *awkward smile*\nconclusion: stop smiling ;'(\n #pictureday2016  #ornot,joy
We express our deep concern about the suspension of   @MohammedSomaa01  please reactivate it. he never violated T.roles @Support,fear
@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. ,anger
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,sadness
@HillaryClinton @realDonaldTrump @BonfireLana #bully #Bullshit #fullofshit please take out the #garbage,fear
Cam cannot be serious with that IG post and that stupid ass font he uses. Would've been better to just say nothing.,sadness
#Taurus will react angrily when she can't take being provoked any longer.,anger
"When a guy comes on the train that smells like a mixture of a damp dog, old sweat and sewage works!!!!#gross #horrid #getoffthetrain #smelly",fear
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! ",anger
#LMFAO @MSNBC 's #racepimp Tamron Hall used the words 'fscts' and 'MSNBC' in the same sentence  #libtard #biasedmedia #neverHillary,joy
Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch ,fear
Do not grow weary in doing good. The treadlines are better than deadlines.' @billclinton #CGI2016,sadness
I've got some new pens to break in. Name an animated series and I'll draw you in that style 🖍,joy
"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger
"Ooh #hygge, candles, jasmine tea &amp; #GBBO ",joy
I'm such a fan of endless #laughter with #friends and enjoying #happiness together. #FridayFeeling #weekend,joy
Excited and nervous for Tuesday,fear
@shwood @mpforstein OMD you 2 are cracking me up! Thanks for the follow Brian. I need some levity to balance the cynicism I share w/Michael😀,joy
Food that gets delivered 😍🙌🏻  ,joy
@faithstrust @TheeCurrentYear imagine being this stupid for trying to chirp because of some racist prick.,joy
@everycolorbot more like every color looks the same #triggered #colorblind ,anger
i mean i guess most of the mean ones are treated as like playful but i want to support yoosung without dating him ;___;,joy
@Docjp they unleashing God's wrath just as Cain did,anger
"Approaching #terrorism from an anti-racism POV is futile, instead promote prejudice towards racism. That way we are all on the battlefield.",fear
@NinjaWorrier @ali_zimmer @m_pattison How long ago was that? (I shudder to think.),fear
PM #SheikhHasina in @UN speech terms #terrorism as global challenge and urges world leaders to work together to unroot it from everywhere.,fear
"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote",joy
Rec'd call 2day from Haitian church we started in Florida some 15yrs ago. Preparing to acquire their own bldg. Wanted me to know. #rejoicing,joy
I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 #tiff,anger
@MaxVenator We've had no foreign policy but have had goofy Secretary of State John Kerry with his devil may care pose and jaunty blue scarf.,joy
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger
Marcos rojo plays for man united !!  Just let that sink in !!!,sadness
I've been wanting salty fries from McDonald's since yesterday and I'm burning my fingers eating them bc these shits 🔥🔥🔥,anger
@AOLUK @JamesHayr @TheDrum Anychance of addressing the communication I sent to you yesterday??? I still haven't had any contact #shocking,fear
Research has determined 70% of #laughter is actually .,fear
@emilyycos the other 26 was last night at 2am while i watched the balls i animated bounce for 20 minutes figuring out what was wrong,joy
Making my buddy cry !! Bitch wait for revenge 🤗👌🏻,anger
Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless,fear
@kingvee_ don't provoke me to anger,anger
Check out this #film Robocoq 301 #animated #shortfilms,joy
@EBled2 Great to have you as our tournament chair and award was #serious,sadness
"2day's most used term is, #terrorism, with many addresses and forms. On my #opinion, the only form of terrorism in this world is, injustice!",fear
"Hopefully I'll get this Best Buy job, and officaly #start my #streaming #career , working towards doing something I love #1DayAtaTime",fear
@deshbhakthoon always unhappy and easily offended.,anger
"@jade0208 unfortunately the diet is still on, so they will have to wait till Friday I'm afraid.",fear
"We are elated to have @lisavol, Sid Espinosa and @dyuliharris, ready to inspire innovative students!!  @knightfdn @MicrosoftSV @JessicaWeare",joy
When you have 15 doe run the opposite side of you 🙁 #depression,sadness
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,anger
"Eating an egg is grim, you are eating the material embodiment of a fart and an unborn chick",sadness
schneiderlin taking his revenge for the 2 fouls,anger
"Meanwhile, the so-called M’s fans sit there knitting or sleeping not sure which but they certainly aren’t cheering like the other teams fans",joy
"Seriously @marksandspencer I'm sick and grumpy and the only thing that's gonna cheer me up is ordering my xmas food, when's it going up? 😢",joy
#aliens #zombie #gore #slash #ghost #sith #horror I love it all. 🔪,fear
"@Mc_Cabe_Conor This is it. The complete illiteracy around the role, nature and extent of British agents is shocking.",fear
Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme  #nudes #tits #snapchat,anger
"@JogglingDroid @BrancoCarmine @Otto_English yeah, #UK was quite the ",fear
@TDsNation I blame how broken madden is this year,anger
Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings #serious,sadness
"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",anger
"I love when #girls are busy in teaching how to #pout while taking #selfie in a mall , their desication is immense #women love #perfection",anger
"$8 million in box office doesnt do this movie justice. Political or not, #SnowdenMovie is a terrific thriller and love story. @Snowden",fear
oh these old things on my face? nah they're not tears from school related anger and frustration nope never,anger
So when I try I fail... and when I don't try... I still fail... #confused and #lost,sadness
@DarbyHogle the red one would look super pretty with a bronzy glowy nude lip makeup look! 3rd black would be pretty with a dark lip! 😍,sadness
Pre-prepare direction plays hale and hearty situation an in child's evolvement: CMmyd,joy
Don't wanna go to work but I want the money #sad,sadness
"I'm due for a big change! I've prayed on it, I think I deserve it #positivity ",joy
My siblings look all gangster &amp; I look all cheery 😅😂,joy
"@AphoticSanguine —but be a little playful. \n\nHe hesitantly pulls away, just enough so he could get words out, lips brushing against—",joy
I found #marmite in Australia. `:) ,joy
STAY JADED everyone is #terrible,fear
"@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it",anger
"@frecklybellamy the walking dead, mr robot, american horror story, merlin",fear
#smile every morning to a positive head start with your #clients relations,joy
"@Gsmsbooksrus @goodreads 'so shines a good deed in a weary world' Roald Dahl, Charlie and the Chocolate Factory",sadness
"But When it come to a serious situation, I be glad I gave it deep thought 💯",sadness
"@GriffinLaneP @Mediaite The Left has been protected so long, they've lost their reasoning power.",sadness
"@turoturok  We're glad to hear that everything is resolved. If you need anything else, please do not hesitate to reach out to us.  TY!",fear
@FoRDaYS14 😳 chewing what? #smile #arcdental #turlock,joy
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,anger
@GrimsToyShow grim what the fuck going on with these dame fucking clowns takeing the gameing channel if I had a way to nj I would delete,sadness
someone come to fright world w me🤗🤗,fear
"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. ",anger
"@ShieldsCap &lt; Steve between his feet, feeling a blush sting his cheeks. 'I can undress myself, thank you very much,' he snapped &gt;",anger
@VivYau is it all doom and gloom? I only want to hear lovely things about airbnb!,sadness
my alarm clock was ringing this morning n my flatmate knocked on my door and asked if i set anything on fire or if i'm burning alive :) :):),anger
You can't fight the elephants until you have wrestled the pigs. #quoteoftheday ,anger
@LakersTakeover it ain't that serious. #HOUvsNE  #igotbetterthingstodotonightthandie,fear
"Always be #cheerful, #smile often make others happy, care for others, help who feel helpless and #vulnerable. Life feels good #leadership",joy
This provocation sets off a curiosity. An entity is feeding fuel to the fire. speaking quatrains. Hmmm America needs to be vigilant now,anger
if anyone spoils any of my fucking shows I will haunt you in the afterlife so help me god,fear
Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.,anger
Forever angry that gh ruined Molly and morgan's bond/friendship ,anger
So happy my next class is canceled bc..im od tired 😭,joy
.\nWe express our deep concern about the suspension of   \n@MohammedSomaa01  please reactivate it. he never violated T.roles @Support,fear
@CNN yes. Too many cops. And too many ppl who should have lost their lives r still alive.,sadness
@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,fear
Appropriate that first secretary at permanent mission is tasked with demolition of #terror state #Pakistan - Like 'renunciation of lies' bit,fear
Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?,sadness
I'm too sober time to get shit faced,sadness
"Holding a grudge on someone will stop your blessings from God ,learn to forgive &amp; forget 🙏🏾",anger
Studying the phases of oscillation. How jovial. 😐🔫,joy
@smoothkobra after such a heavy 2 days this has given much needed levity. Thanks bro,joy
"If a friend lost his/her phone, how long do they have to mourn their lost phones before you ask for their earpiece?",sadness
Actually fuming I have nothing to wear Saturday,anger
Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n#quotes #worstenemy #depression #thinktoomuch,sadness
"When you saw a t-shirt with the phrase 'My mind is a dangerous place to be' and you would like to buy, but in Italy don't sell it. #sadness",sadness
Ellie from @myspanishboots is here to answer your questions! Don't be shy - she loves talking about #equestrian fashion ;-) #equestrianhour,fear
@Melanie_Pierce @HunterHayes awe ain't he a sweetheart? He's adorable! 😊😍❤️,fear
People often grudge others what they cannot enjoy themselves.,anger
@SteveBryantArt I was pretty sure it was a Golden Ticket. Get a tour. Make a mistake. Something horrific will happen to you. Good day sir.,fear
Halfway to work and I realize I forgot to put on underwear....It's going to be one of those days! #mombrain #toomuchgoingon #longday #breezy,joy
U know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself  at almost 3am...  #pensive,sadness
How can America be so openly embracing racism. #dismayed,fear
@JustPyroNow are you gonna do any kind of community raids when wrath of the machine drops?,anger
"@mediacrooks @thenewshour @LodhiMaleeha @ndtv @IndiaToday This is hilarious ! Not a Freudian slip, eh !",joy
Thank you @twitter for the balloons today. #smile #goodday #48,joy
@bothsocial Thanks for the follow! Hope you’re having a terrific day!,fear
"@JogglingDroid @BrancoCarmine @Otto_English yeah, #UK was quite the #bully",fear
"Despite my sharing O'Neill's article, what saddens me about the Gazza case is there seems to be more fury about the sentence than the remark",anger
#Everything you've ever wanted awaits you on the other side of #fear . #IfIWasTheOppositeSex #AskAMan,fear
"repentance, and trusting in Christ. It is lowly and painful, but it is also joyous, peaceful, and absolutely glorious. (2/2)",joy
"@bijayjanand\nIt's not just a treat for viewers to watch u as janak, it's simply a treat for our soul, mind, thoughts. #hearty respect 🙏🙏",joy
"@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",joy
@NandosSA just received order from @OrderInSA &amp; the chips are under cooked &amp; half raw!!! Usually best part of the meal #notcool #terrible,fear
First a coat. Now a pair of sunglasses. Next it'll be a limb. #lost,sadness
"if you ain't watching Sugarboy on Hulu, then you ain't shit. #hilarious hahaha",joy
